cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator,gov_level_sort_order,mode_sort_order,user_other_grp
Expenditure,-,-,Total,Non-Capital,Total,-,2014,3961800000,Railroads,4043433454,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2015,4028200000,Railroads,4142653632,Actual,,9999,4,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FTA direct Expenditure,2020,155000000,Transit,147517892,Actual,105.072,0,1,-
Expenditure,-,-,Total,Non-Capital,Total,-,2016,3842000000,Railroads,3950315206,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2017,3853200000,Railroads,3853200000,Actual,,9999,4,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FTA direct Expenditure,2021,151000000,Transit,139419792,Actual,108.306,0,1,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FTA direct Expenditure,2022,45000000,Transit,39512850,Actual,113.887,0,1,-
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2010,190000000,General,211685013,Actual,89.756,0,6,Other
Expenditure,-,-,Total,Non-Capital,Total,-,2018,3923200000,Railroads,3758010780,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2019,3953400000,Railroads,3727797691,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2020,3642200000,Railroads,3419745997,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2021,3577200000,Railroads,3100522014,Actual,,9999,4,-
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2011,105000000,General,113893981,Actual,92.191,0,6,Other
Expenditure,-,-,Total,Non-Capital,Total,-,2022,4401800000,Railroads,3487512129,Actual,,9999,4,-
Expenditure,-,-,Total,Non-Capital,Total,-,2010,37878149794,Transit,43612543626,Actual,,9999,1,-
Expenditure,-,-,Total,Non-Capital,Total,-,2011,38752509268,Transit,42579066197,Actual,,9999,1,-
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2012,99000000,General,106515751,Actual,92.944,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2013,168000000,General,178052865,Actual,94.354,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2014,158000000,General,164246286,Actual,96.197,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2015,141000000,General,145302404,Actual,97.039,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2016,148000000,General,151026573,Actual,97.996,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2017,122000000,General,122000000,Actual,100,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2018,241000000,General,234060118,Actual,102.965,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2019,132000000,General,126080520,Actual,104.695,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2020,136000000,General,129435054,Actual,105.072,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2021,183000000,General,168965708,Actual,108.306,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2022,93000000,General,81659891,Actual,113.887,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2010,86000000,General,95815322,Actual,89.756,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2011,96000000,General,104131640,Actual,92.191,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2012,97000000,General,104363918,Actual,92.944,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2013,101000000,General,107043687,Actual,94.354,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2014,97000000,General,100834745,Actual,96.197,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2015,99000000,General,102020837,Actual,97.039,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2016,104000000,General,106126781,Actual,97.996,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2017,106000000,General,106000000,Actual,100,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2018,103000000,General,100033992,Actual,102.965,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2019,105000000,General,100291322,Actual,104.695,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2020,111000000,General,105641846,Actual,105.072,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2021,111000000,General,102487397,Actual,108.306,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2022,122000000,General,107123728,Actual,113.887,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2010,97000000,General,108070770,Actual,89.756,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2011,129000000,General,139926891,Actual,92.191,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2012,101000000,General,108667585,Actual,92.944,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2013,104000000,General,110223202,Actual,94.354,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2014,71000000,General,73806875,Actual,96.197,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2015,118000000,General,121600594,Actual,97.039,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2016,107000000,General,109188130,Actual,97.996,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2017,118000000,General,118000000,Actual,100,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2018,282000000,General,273879474,Actual,102.965,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2019,129000000,General,123215053,Actual,104.695,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2020,140000000,General,133241967,Actual,105.072,0,6,Other
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2021,190000000,General,175428877,Actual,108.306,0,6,Other
