year,mode,gov_level,chained_value,desccription
2020,Highways,State and Local,86137489356.0,State capital expenditures
2015,Highways,State and Local,83622757175.0,State capital expenditures
2010,Highways,State and Local,83571225731.0,State capital expenditures
2014,Highways,State and Local,81784473387.0,State capital expenditures
2016,Highways,State and Local,80341814904.0,State capital expenditures
2011,Highways,State and Local,80217027449.0,State capital expenditures
2019,Highways,State and Local,80201785815.0,State capital expenditures
2012,Highways,State and Local,80069696331.0,State capital expenditures
2018,Highways,State and Local,79791057314.0,State capital expenditures
2022,Highways,Federal,79025700914.0,HTF receipts from federal general and other fund liquidity transfers
2017,Highways,State and Local,78061604000.0,State capital expenditures
2021,Highways,State and Local,77113413395.0,State capital expenditures
2013,Highways,State and Local,76510961679.0,State capital expenditures
2022,Highways,State and Local,69177442784.0,State capital expenditures
2016,Highways,Federal,53063390342.0,HTF receipts from federal general and other fund liquidity transfers
2016,Transit,State and Local,47822085732.0,Agency non-capital Expenditure
2019,Transit,State and Local,47684998390.0,Agency non-capital Expenditure
2017,Transit,State and Local,46529260787.0,Agency non-capital Expenditure
2020,Transit,State and Local,46469987667.0,Agency non-capital Expenditure
2018,Transit,State and Local,46232404531.0,Agency non-capital Expenditure
2015,Transit,State and Local,45635758908.0,Agency non-capital Expenditure
2013,Transit,State and Local,43968668138.0,Agency non-capital Expenditure
2010,Transit,State and Local,43448893104.0,Agency non-capital Expenditure
2020,Highways,Federal,43204654260.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2014,Transit,State and Local,42724347446.0,Agency non-capital Expenditure
2021,Transit,State and Local,42426157500.0,Agency non-capital Expenditure
2011,Transit,State and Local,42418641923.0,Agency non-capital Expenditure
2012,Transit,State and Local,42408237272.0,Agency non-capital Expenditure
2022,Transit,State and Local,41489405549.0,Agency non-capital Expenditure
2013,Highways,Federal,40879638709.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2017,Highways,Federal,40605631593.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2014,Highways,State and Local,39841228881.0,Local general funds
2015,Highways,Federal,39795583062.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2021,Highways,Federal,39338591259.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2016,Highways,Federal,38602675027.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2013,Highways,State and Local,38547489641.0,Local general funds
2022,Highways,Federal,38054033530.0,HTF transfers to S&L from FHWA (Trust Fund Grants)
2012,Highways,Federal,37810794902.0,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)"
